Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes
2020-09-21,215,699,2915,688,521,897,3460,905,1432,423,1355,1340,413,515,126,918
2020-09-22,491,354,2189,197,349,614,3534,290,1147,159,1291,1056,428,665,87,538
2020-09-23,350,166,888,306,754,1318,4714,504,1142,335,1609,1002,554,819,285,827
2020-09-24,625,509,1447,170,689,2240,10813,1147,1631,910,3194,730,572,3689,244,468
2020-09-25,680,915,1261,753,1600,3833,12544,1694,2030,1175,3913,1481,706,3631,319,1118
2020-09-26,739,757,1733,754,1065,3876,12508,1612,2101,1129,4446,1214,854,4100,273,1000
2020-09-27,820,1023,2139,566,1498,3451,12923,1754,2233,1180,3828,1328,913,4799,343,607
2020-09-28,862,791,2225,859,1502,2963,13982,1422,2090,1110,3673,1081,859,2548,142,1364
2020-09-29,919,1529,3652,685,796,1797,7022,1369,1811,712,2683,1276,701,2596,370,1001
2020-09-30,447,479,1064,689,888,2171,11235,1013,1703,325,2353,2013,664,1675,283,507
2020-10-01,583,1011,1586,510,860,3079,11881,1299,2221,630,3798,1692,752,2932,296,403
2020-10-02,765,803,1247,746,1132,3626,13990,1345,2635,1012,3978,1819,975,3933,242,426
2020-10-03,726,802,1406,1056,1121,3539,12062,1987,1871,914,3004,1620,799,3703,248,840
2020-10-04,862,692,1980,736,1142,3899,11699,1550,2211,879,3141,1647,826,3875,294,900
2020-10-05,1158,1070,3281,824,1049,2905,12870,1277,2146,960,2544,1481,668,3003,98,864
2020-10-06,712,855,3572,807,1032,2052,7734,857,2019,550,1300,1520,657,1648,133,868
2020-10-07,428,619,857,398,1009,1657,7027,385,644,227,1583,1400,503,1904,368,697
2020-10-08,619,1076,1481,285,980,3108,11899,1014,1631,790,3770,1733,643,2957,219,749
2020-10-09,770,741,1183,660,861,3054,13735,1480,2214,914,3478,1638,714,3923,347,580
2020-10-10,841,810,1580,922,1282,3523,12700,1315,1833,874,3747,1629,625,3501,248,592
2020-10-11,870,853,2540,1157,1295,3712,13363,1680,2044,1054,3087,1635,686,4120,284,831
2020-10-12,972,1075,3115,1075,1503,2451,12359,1373,1955,908,3106,1581,621,2543,209,1061
2020-10-13,617,564,3416,650,1171,1630,7066,1010,943,659,2231,1248,592,3005,90,711
2020-10-14,365,292,1760,567,484,1028,6413,328,420,407,1713,1067,362,1311,240,594
2020-10-15,454,405,860,221,573,2025,6280,563,624,346,2367,854,347,1584,226,276
2020-10-16,754,858,1067,299,912,2559,11668,725,1573,706,3692,1158,603,3823,288,403
2020-10-17,822,957,1970,673,1151,3314,12914,2098,2102,1192,3020,925,841,3920,267,448
2020-10-18,732,638,2217,960,1200,3273,10812,1602,2070,932,4348,2134,650,4614,296,643
2020-10-19,745,811,3547,861,1024,2461,11120,1401,1805,1029,3614,1517,882,2388,348,1118
2020-10-20,949,1104,2605,687,1626,1898,7408,952,987,457,1941,1062,565,3117,94,279
2020-10-21,367,907,989,388,610,1622,6115,572,541,445,1952,1598,425,1736,305,274
2020-10-22,728,648,1229,319,823,3094,11451,1323,1494,929,3863,840,731,3524,298,440
2020-10-23,794,972,1571,792,1008,3257,12030,1537,1916,1150,3715,2377,760,4254,342,884
2020-10-24,738,932,1890,838,1128,3185,13020,1595,2264,1032,3569,1599,662,4324,351,669
2020-10-25,737,1046,2239,1020,1057,3309,12669,1435,2327,1054,4093,1787,664,4076,338,622
2020-10-26,832,1044,3825,939,1026,2640,13041,1315,1588,971,3912,1742,849,2860,295,953
2020-10-27,542,796,1749,563,473,1410,5081,692,640,981,1959,1213,550,3082,107,174
2020-10-28,343,714,1354,340,1503,1798,6485,655,746,536,1935,1311,468,2882,376,376
2020-10-29,706,694,1858,237,1050,2740,11546,1490,1567,1144,4069,1156,584,3708,257,600
2020-10-30,777,946,1238,838,1125,3285,12089,1428,1929,948,4816,1568,823,4093,279,698
2020-10-31,1058,1752,1906,863,1351,2612,13772,1469,1897,1080,4158,1716,1012,3670,235,707
2020-11-01,1025,906,2549,781,1245,3852,13066,1563,2001,928,4069,1878,836,5232,333,888
2020-11-02,868,1263,3544,920,1438,1929,12086,934,2025,646,3612,1579,973,3698,224,521
2020-11-03,782,434,2400,613,932,1553,7665,666,548,889,2396,1186,785,1923,90,792
2020-11-04,431,439,1138,367,662,1552,5809,559,558,275,1938,1056,524,2130,294,299
2020-11-05,734,898,1599,196,750,3129,12076,1427,1723,576,4300,1706,751,3383,347,633
2020-11-06,741,1083,1604,731,1154,3244,13959,1481,1738,1134,4938,2018,1041,4674,287,666
2020-11-07,825,938,1830,729,1059,3198,13546,1376,1880,929,5336,1607,846,4167,304,720
2020-11-08,711,1082,2311,1321,1115,3078,13995,1576,1575,933,5158,2705,1148,4272,283,808
2020-11-09,817,1335,3687,902,1493,2346,11316,1119,1634,810,3919,1834,1131,4055,235,698
2020-11-10,693,1070,1903,557,771,1240,7785,801,1062,384,2541,1461,862,2129,93,579
2020-11-11,386,423,2211,373,565,1709,7616,742,590,324,2651,2030,548,1481,289,210
2020-11-12,830,794,1729,288,1049,2977,12137,1286,1577,973,4666,1897,731,4034,257,483
2020-11-13,683,892,1511,580,1236,3442,12412,1261,2048,943,4963,1706,1196,4367,274,769
2020-11-14,504,995,2026,773,1399,3115,14107,1622,1977,805,3972,2717,1087,4316,225,882
2020-11-15,726,1023,2395,616,1238,3753,12775,1100,1803,926,5358,2201,1143,4600,362,795
2020-11-16,852,504,3505,742,1105,2196,11620,1611,1592,1216,4360,1808,1035,4232,239,712
2020-11-17,661,1812,2459,472,525,1241,6053,830,721,354,2608,1421,866,1905,183,592
2020-11-18,258,640,1040,458,729,1501,6936,585,679,321,1963,1334,557,2444,443,337
2020-11-19,1011,1019,1433,238,968,3013,11816,1255,1722,977,4870,1615,806,3750,330,491
2020-11-20,841,1207,1515,575,1368,3331,12760,1276,1831,1029,4850,1802,1124,4540,288,893
2020-11-21,697,1054,1281,565,1305,3105,13734,1282,1935,877,4341,2018,968,5259,328,837
2020-11-22,732,976,3058,1029,944,3209,12928,1619,2221,1049,3603,2222,949,4342,332,821
2020-11-23,922,1338,4006,885,1265,2309,11355,1275,1634,1293,4206,1849,987,4057,207,790
2020-11-24,463,849,1990,571,983,1288,6303,676,927,831,2156,1545,776,2648,198,556
2020-11-25,154,778,1096,431,806,1664,7915,631,694,396,2066,1298,707,1247,289,208
2020-11-26,856,1209,1600,206,1079,3046,11792,1263,2224,1024,4632,1702,816,4036,311,383
2020-11-27,600,906,888,674,1134,3269,13910,1245,2122,1054,4539,1870,1073,4167,320,1155
2020-11-28,722,707,1786,717,1330,2750,13331,1596,2184,1521,4400,2028,1053,4236,295,806
2020-11-29,645,747,2978,691,1655,3914,13980,1226,2122,1306,4508,1795,929,4929,369,980
2020-11-30,748,1856,2757,523,1133,2338,13009,1067,1410,1069,4433,2030,989,3264,215,655
2020-12-01,631,1101,2344,648,797,1158,7180,902,828,576,2386,1438,737,2099,92,763
2020-12-02,260,355,1713,315,600,1519,7497,1160,920,317,2028,1625,542,2164,386,199
2020-12-03,851,795,1499,206,1035,3394,12255,1226,1963,1201,4941,1575,890,3385,272,574
2020-12-04,660,861,1435,676,828,3444,15911,1404,1972,1192,4137,1925,1022,3916,333,925
2020-12-05,595,581,1564,681,1845,3249,15136,1391,1783,906,4493,1812,870,4031,350,874
2020-12-06,802,894,2605,758,1343,3920,15111,1699,1623,1298,4039,1613,870,4195,594,813
2020-12-07,905,1667,3988,818,1502,2679,11107,1199,1632,882,4789,2170,850,3577,326,652
2020-12-08,249,966,2781,723,544,1223,11238,1141,1059,636,2391,1443,797,2251,141,602
2020-12-09,359,659,1081,462,609,1875,8622,936,661,467,2140,1037,591,1755,407,531
2020-12-10,913,1082,1439,123,965,1900,11800,811,1759,1054,4328,902,769,4086,162,416
2020-12-11,366,570,1218,564,982,2856,9837,843,1287,517,3732,1478,972,1404,246,671
2020-12-12,851,167,1456,312,1240,3350,15457,1245,2160,1138,5157,1459,900,4305,310,852
2020-12-13,903,1731,2455,1101,1143,3928,15620,1855,1890,1017,7597,1898,1142,4331,437,1006
2020-12-14,1011,1359,4676,691,1552,2936,16896,1369,1915,1576,4871,1525,1363,3821,196,1119
2020-12-15,632,1796,2808,713,986,2073,9198,1134,1812,724,2741,1664,583,2074,85,459
2020-12-16,314,1057,1396,455,773,1981,10153,1385,1054,423,3073,955,677,1251,437,515
2020-12-17,663,1207,2094,219,973,3621,15039,1494,1894,962,5121,1133,860,3710,485,586
2020-12-18,1315,706,1662,693,1313,4050,17795,1753,2384,1264,6836,1612,1087,3822,387,855
2020-12-19,676,984,2264,857,1014,3957,17043,1736,2596,998,6269,1755,1314,3966,337,960
2020-12-20,922,953,3174,880,1735,3645,17240,1900,2988,1249,6157,1783,1047,5362,365,885
2020-12-21,1412,1484,4056,783,1385,2433,15757,1297,2620,1095,6184,1565,1108,3390,296,828
2020-12-22,693,1308,2360,900,875,1724,9737,935,1650,491,2619,1302,793,3669,177,672
2020-12-23,644,685,1729,509,745,2326,12640,1438,1681,416,3422,1376,663,2162,302,496
2020-12-24,879,1247,1904,317,1243,3738,16481,1384,2035,1389,5948,1484,850,4319,340,746
2020-12-25,895,1016,1755,961,1238,3820,16987,1834,2770,1068,7474,1537,997,4358,409,892
2020-12-26,1042,1225,2291,876,1369,3625,15434,1820,2863,1356,6167,2242,1250,5455,421,837
2020-12-27,373,1146,1441,723,732,1719,9351,1044,2645,920,3164,1480,338,1877,117,227
2020-12-28,598,466,2088,300,578,1106,9852,626,1638,820,2034,1537,175,837,281,555
2020-12-29,763,1115,2005,117,646,1165,7523,533,943,548,2380,1106,1233,1538,152,623
2020-12-30,833,645,2954,283,608,1516,10280,717,1027,399,2875,1100,485,1558,475,337
2020-12-31,1016,1120,2641,246,863,3562,15510,1338,1989,1139,5885,1367,1123,3737,378,656
2021-01-01,929,1110,1885,763,2016,4288,17561,2020,3309,1406,5951,1887,1278,5002,369,809
2021-01-02,1030,947,2579,857,1081,3436,15741,2530,1336,1122,5950,1803,1575,5123,404,664
2021-01-03,344,1125,1070,623,602,2030,8562,935,5052,1027,3095,1630,653,2630,114,292
2021-01-04,486,834,2468,397,370,1595,8588,811,2207,551,1747,1714,479,2361,318,571
2021-01-05,483,1320,1333,102,839,1228,10837,925,1490,522,2674,1041,675,1454,160,734
2021-01-06,892,857,4761,216,691,2158,9326,1310,1267,421,5116,1456,676,1808,377,704
2021-01-07,1293,951,2173,293,1267,3863,19071,1599,2313,1354,4609,1370,1389,4967,411,795
2021-01-08,1079,2120,3171,905,1557,4452,18299,2209,2980,1512,5188,2392,1307,5456,572,842
2021-01-09,1132,1394,2692,855,1227,4594,21506,2722,4187,1442,4174,3003,1871,5874,548,895
2021-01-10,1246,1506,2837,1445,1117,5507,21019,2494,3429,1615,6313,2413,1478,5924,625,758
2021-01-11,1231,1280,6363,108,1544,3565,20007,2649,3219,1456,6087,1998,1507,5355,327,742
2021-01-12,915,1997,3496,1472,1121,2968,13969,1705,2004,916,4153,2103,1184,3362,231,1126
2021-01-13,897,1300,1895,913,839,2683,14620,1796,3201,565,4544,1798,844,4160,650,755
2021-01-14,1215,1452,2506,645,1288,4450,19939,1976,3180,1444,5778,2309,1585,5198,316,835
2021-01-15,1358,1268,2185,1104,1864,5274,20435,2742,3999,1723,6116,2136,1365,5801,699,908
2021-01-16,1657,1716,3607,1118,1888,4781,23471,2768,3660,1613,6802,2200,1776,6882,470,790
2021-01-17,1980,1981,4800,1634,1516,6054,22861,3060,3741,1513,6393,3097,1693,6725,541,869
2021-01-18,1286,2172,3182,1145,1829,3475,19379,2268,3646,1563,5213,3022,1322,4820,445,906
2021-01-19,917,1301,4465,1125,1491,2130,14217,1471,2691,828,3296,2199,1319,3542,323,698
2021-01-20,974,2229,2920,905,988,2576,13050,1907,1987,565,3871,3542,667,4323,549,451
2021-01-21,1578,1748,1697,1082,1526,6385,18677,2230,2674,1525,7680,2141,1411,5223,476,875
